Feature,Bin,WOE,Coefficient,Points
checking_account,A11,-0.7639162514481526,-0.7770024161347029,-17
checking_account,A12,-0.415164505196878,-0.7770024161347029,-9
checking_account,A13,0.1335313926245227,-0.7770024161347029,3
checking_account,A14,1.1841344621062715,-0.7770024161347029,27
credit_history,A30,-1.134979932838985,-0.5888659944481268,-19
credit_history,A31,-1.0586069540544103,-0.5888659944481268,-18
credit_history,A32,-0.0828416521224765,-0.5888659944481268,-1
credit_history,A33,-0.1316778239751997,-0.5888659944481268,-2
credit_history,A34,0.6990819160797599,-0.5888659944481268,12
purpose,A40,-0.1803530522212824,-0.8294793164852095,-4
purpose,A41,0.5555258026838976,-0.8294793164852095,13
purpose,A410,-0.1541506798272583,-0.8294793164852095,-4
purpose,A42,-0.1182186706011949,-0.8294793164852095,-3
purpose,A43,0.3848458209054287,-0.8294793164852095,9
purpose,A44,0.0,-0.8294793164852095,0
purpose,A45,-0.3364722366212129,-0.8294793164852095,-8
purpose,A46,-0.9044562742271522,-0.8294793164852095,-22
purpose,A48,0.5389965007326869,-0.8294793164852095,13
purpose,A49,-0.2186892009648294,-0.8294793164852095,-5
savings_account,A61,-0.3017866786333228,-0.7755286209649087,-7
savings_account,A62,-0.0980612131762147,-0.7755286209649087,-2
savings_account,A63,0.7331525151736445,-0.7755286209649087,16
savings_account,A64,1.0090001299784228,-0.7755286209649087,23
savings_account,A65,0.8622235106038793,-0.7755286209649087,19
employment,A71,-0.6847789308894288,-0.6427576119567918,-13
employment,A72,-0.5790338737925242,-0.6427576119567918,-11
employment,A73,0.0746908926015892,-0.6427576119567918,1
employment,A74,0.5170175940139118,-0.6427576119567918,10
employment,A75,0.1941560144409575,-0.6427576119567918,4
personal_status_sex,A91,-0.3083013596545167,-0.6468939691593351,-6
personal_status_sex,A92,-0.246088175152944,-0.6468939691593351,-5
personal_status_sex,A93,0.1634200490263983,-0.6468939691593351,3
personal_status_sex,A94,0.0794641713542468,-0.6468939691593351,1
other_debtors,A101,0.0059970194723742,-0.6215230401981195,0
other_debtors,A102,-0.5790338737925242,-0.6215230401981195,-10
other_debtors,A103,0.5026288565618122,-0.6215230401981195,9
property,A121,0.471278326677736,-0.43269866488031133,6
property,A122,0.0514485618360419,-0.43269866488031133,1
property,A123,-0.0348039221946922,-0.43269866488031133,0
property,A124,-0.6847789308894288,-0.43269866488031133,-9
other_installment_plans,A141,-0.7462017435158349,-0.7466070467829514,-16
other_installment_plans,A142,-0.3083013596545167,-0.7466070467829514,-7
other_installment_plans,A143,0.1746218074926516,-0.7466070467829514,4
housing,A151,-0.4688614246669584,-0.3904007791293514,-5
housing,A152,0.2144681548949398,-0.3904007791293514,2
housing,A153,-0.4970954309540888,-0.3904007791293514,-6
job,A171,-0.8472978603872037,0.3651060835316151,9
job,A172,0.1042610103244094,0.3651060835316151,-1
job,A173,0.0395561991918216,0.3651060835316151,0
job,A174,-0.1992711151077279,0.3651060835316151,2
foreign_worker,A201,-0.0449513878622662,-0.7935430071985138,-1
foreign_worker,A202,1.7176514970743328,-0.7935430071985138,39
age_binned,18-25,-0.4552557726111798,-0.5507379357206917,-7
age_binned,26-35,-0.0016246957270019,-0.5507379357206917,0
age_binned,36-45,0.3566749439387324,-0.5507379357206917,6
age_binned,46-55,0.2353140869344648,-0.5507379357206917,4
age_binned,56+,-0.1880522315029396,-0.5507379357206917,-3
duration_binned,"(12.0, 15.0]",0.5136786927483972,-0.8822318387168346,13
duration_binned,"(15.0, 24.0]",-0.1994658760393008,-0.8822318387168346,-5
duration_binned,"(24.0, 30.0]",-0.1164103518444113,-0.8822318387168346,-3
duration_binned,"(3.999, 12.0]",0.4915942618381032,-0.8822318387168346,13
duration_binned,"(30.0, 60.0]",-0.6315892875605117,-0.8822318387168346,-16
