iter	Passed	Remaining
0	26	3518
1	85	5661
2	131	5782
3	232	7610
4	300	7824
5	358	7716
6	415	7589
7	467	7421
8	531	7444
9	588	7353
10	627	7075
11	646	6623
12	765	7181
13	806	6973
14	848	6788
15	896	6670
16	935	6496
17	984	6401
18	1021	6237
19	1072	6164
20	1115	6053
21	1154	5929
22	1204	5863
23	1231	5697
24	1281	5639
25	1321	5539
26	1355	5421
27	1427	5453
28	1512	5529
29	1561	5464
30	1616	5421
31	1656	5332
32	1705	5272
33	1750	5198
34	1793	5124
35	1833	5040
36	1877	4972
37	1918	4896
38	1965	4838
39	2014	4785
40	2031	4657
41	2071	4587
42	2109	4513
43	2152	4451
44	2179	4359
45	2219	4295
46	2259	4230
47	2304	4176
48	2344	4114
49	2384	4053
50	2432	4006
51	2483	3963
52	2518	3895
53	2549	3824
54	2587	3763
55	2611	3684
56	2642	3615
57	2675	3552
58	2707	3488
59	2751	3439
60	2786	3380
61	2820	3320
62	2865	3274
63	2882	3198
64	2934	3160
65	3015	3152
66	3059	3104
67	3095	3049
68	3130	2994
69	3172	2945
70	3215	2898
71	3260	2853
72	3301	2804
73	3344	2756
74	3385	2708
75	3407	2645
76	3454	2602
77	3503	2560
78	3541	2510
79	3583	2463
80	3631	2420
81	3672	2373
82	3681	2306
83	3719	2258
84	3777	2221
85	3810	2171
86	3852	2125
87	3892	2079
88	3949	2041
89	3989	1994
90	4037	1952
91	4093	1913
92	4136	1868
93	4173	1820
94	4217	1775
95	4260	1730
96	4304	1686
97	4348	1641
98	4384	1594
99	4436	1552
100	4472	1505
101	4513	1460
102	4560	1416
103	4597	1370
104	4637	1324
105	4667	1277
106	4703	1230
107	4763	1190
108	4803	1145
109	4843	1100
110	4881	1055
111	4921	1010
112	5063	985
113	5142	947
114	5191	902
115	5231	856
116	5278	812
117	5318	766
118	5355	720
119	5397	674
120	5420	627
121	5474	583
122	5510	537
123	5527	490
124	5573	445
125	5611	400
126	5647	355
127	5695	311
128	5763	268
129	5796	222
130	5838	178
131	5881	133
132	5896	88
133	5942	44
134	6000	0
