iter	Logloss
0	0.6842390772
1	0.6755518947
2	0.6666116443
3	0.6586933183
4	0.6486400038
5	0.6400885269
6	0.6325465815
7	0.6271986445
8	0.619951369
9	0.6136570679
10	0.6071723974
11	0.6031753905
12	0.5980172763
13	0.5920044772
14	0.5874422381
15	0.5823513472
16	0.5788142513
17	0.5751962209
18	0.5702423804
19	0.5660030119
20	0.5618037612
21	0.5575181795
22	0.5542130257
23	0.5496811802
24	0.5468816916
25	0.544188209
26	0.5434244541
27	0.5395797596
28	0.5382557966
29	0.5351979296
30	0.531347806
31	0.5274441306
32	0.5252646666
33	0.5221366528
34	0.5212917221
35	0.5183266604
36	0.5151085087
37	0.5118587307
38	0.5102814404
39	0.508206093
40	0.5056143515
41	0.5029188519
42	0.5018126769
43	0.4993289247
44	0.4978372645
45	0.4949120133
46	0.494382985
47	0.4925537841
48	0.4897797599
49	0.4886392993
50	0.4857654319
51	0.4854034514
52	0.4842709834
53	0.4829712187
54	0.4809596156
55	0.4784298809
56	0.4771175368
57	0.4756931604
58	0.4750986517
59	0.47279837
60	0.4710027087
61	0.4694048501
62	0.4674860385
63	0.4659693532
64	0.4656465957
65	0.4638613826
66	0.4632372717
67	0.4616670294
68	0.4613122348
69	0.4596260157
70	0.458092299
71	0.4567419629
72	0.4553902997
73	0.4541252301
74	0.4530959596
75	0.4516876215
76	0.4507153346
77	0.4503439897
78	0.4494986499
79	0.449081253
80	0.4478942073
81	0.4476528208
82	0.4465073516
83	0.445204047
84	0.443715575
85	0.4428620506
86	0.4414675056
87	0.440610484
88	0.4398008465
89	0.439392401
90	0.4388596904
91	0.438403021
92	0.4379037533
93	0.436917131
94	0.4361785017
95	0.4349671394
96	0.4337479171
97	0.4327317864
98	0.4311561398
99	0.4288286779
100	0.4283074257
101	0.4279478921
102	0.4270356774
103	0.4262966133
104	0.4253434902
105	0.4250123993
106	0.424393934
107	0.4238801663
108	0.4233317371
109	0.4230736607
110	0.4223780911
111	0.4217285648
112	0.4206891391
113	0.4196589271
114	0.419055099
115	0.417480325
116	0.4168578859
117	0.415924233
118	0.4155144974
119	0.4150458714
120	0.4145122547
121	0.4139084637
122	0.4134590584
123	0.4124499147
124	0.4121713239
125	0.4112876117
126	0.4105249157
127	0.4100053709
128	0.4093145475
129	0.4081877025
130	0.4069161585
131	0.4066235128
132	0.4061730698
133	0.4060381473
134	0.4058387582
135	0.4052000766
136	0.4043301224
137	0.4037533548
138	0.4037286983
139	0.4031543371
140	0.4026187086
141	0.4021666778
142	0.4020992677
143	0.4010387907
144	0.4001303393
145	0.3996942143
146	0.3984771109
147	0.3975188182
148	0.397461206
149	0.3967444138
150	0.3961714172
151	0.3955862708
152	0.3951508283
153	0.3944434362
154	0.3937677448
155	0.3935542486
156	0.3926752929
157	0.3917997084
158	0.3912635246
159	0.3898271751
160	0.388766106
161	0.3880688117
162	0.3878806206
163	0.3869029394
164	0.3863543798
165	0.38612591
166	0.38538262
167	0.3843382892
168	0.3836085038
169	0.382105881
170	0.3815872623
171	0.381055041
172	0.3805457897
173	0.3805210367
174	0.380257886
175	0.3797313599
176	0.3788865342
177	0.3783629409
178	0.3780750297
179	0.3776367878
180	0.377478885
181	0.3764100921
182	0.3760264761
183	0.3757940198
184	0.3749206832
185	0.3742355401
186	0.3736683038
187	0.3735790316
188	0.3725301292
189	0.3722402636
190	0.3718940631
191	0.3717819222
192	0.3712777545
