iter	Passed	Remaining
0	229	44593
1	321	30992
2	402	25766
3	503	24022
4	533	20264
5	604	19050
6	651	17494
7	747	17478
8	826	17083
9	907	16795
10	982	16430
11	1040	15866
12	1137	15918
13	1210	15654
14	1298	15582
15	1364	15269
16	1465	15344
17	1549	15241
18	1713	15875
19	1842	16120
20	1878	15565
21	1950	15338
22	1985	14844
23	2001	14260
24	2063	14033
25	2170	14111
26	2260	14065
27	2307	13762
28	2342	13406
29	2427	13349
30	2499	13224
31	2562	13052
32	2599	12760
33	2680	12695
34	2747	12558
35	2818	12447
36	2885	12319
37	2992	12364
38	3065	12261
39	3230	12516
40	3359	12620
41	3376	12300
42	3461	12237
43	3527	12104
44	3537	11790
45	3595	11647
46	3654	11506
47	3732	11429
48	3831	11416
49	3922	11373
50	3997	11286
51	4038	11104
52	4187	11220
53	4301	11232
54	4354	11084
55	4469	11094
56	4551	11019
57	4634	10947
58	4701	10837
59	4776	10747
60	4825	10600
61	4902	10515
62	4989	10453
63	5074	10386
64	5142	10284
65	5155	10076
66	5222	9976
67	5287	9874
68	5359	9786
69	5443	9720
70	5510	9624
71	5584	9540
72	5660	9460
73	5697	9316
74	5782	9251
75	5860	9176
76	5932	9092
77	5999	8999
78	6075	8920
79	6150	8840
80	6222	8757
81	6290	8669
82	6366	8591
83	6452	8526
84	6514	8429
85	6597	8362
86	6682	8295
87	6774	8237
88	6860	8170
89	6939	8096
90	7019	8021
91	7087	7934
92	7144	7835
93	7215	7752
94	7283	7666
95	7314	7543
96	7392	7469
97	7485	7408
98	7558	7329
99	7646	7264
100	7737	7201
101	7808	7119
102	7895	7052
103	7977	6980
104	8053	6903
105	8203	6888
106	8314	6837
107	8398	6765
108	8504	6710
109	8591	6638
110	8666	6558
111	8751	6485
112	8828	6406
113	8967	6371
114	9094	6326
115	9206	6269
116	9277	6184
117	9349	6100
118	9519	6079
119	9601	6000
120	9655	5905
121	9749	5833
122	9830	5754
123	9896	5666
124	9965	5580
125	10050	5503
126	10091	5403
127	10161	5318
128	10236	5237
129	10259	5129
130	10296	5030
131	10359	4944
132	10439	4866
133	10512	4785
134	10588	4705
135	10654	4622
136	10714	4536
137	10778	4451
138	10848	4370
139	10914	4288
140	10994	4210
141	11088	4138
142	11192	4069
143	11277	3994
144	11373	3921
145	11463	3847
146	11565	3776
147	11682	3709
148	11826	3651
149	12055	3616
150	12101	3526
151	12184	3446
152	12261	3365
153	12288	3271
154	12370	3192
155	12438	3109
156	12522	3030
157	12589	2948
158	12667	2868
159	12748	2788
160	12779	2698
161	12870	2621
162	12938	2540
163	13006	2458
164	13086	2379
165	13156	2298
166	13225	2217
167	13310	2139
168	13404	2062
169	13503	1985
170	13579	1905
171	13682	1829
172	13800	1754
173	13856	1672
174	13983	1598
175	14039	1515
176	14160	1440
177	14291	1364
178	14419	1288
179	14551	1212
180	14679	1135
181	14833	1059
182	14955	980
183	15079	901
184	15234	823
185	15313	740
186	15377	657
187	15449	575
188	15521	492
189	15606	410
190	15680	328
191	15813	247
192	15946	165
193	15992	82
194	16076	0
